-1,-1,-0.98255
-1,-0.98246,-0.95008
-1,-0.96491,-0.92538
-1,-0.94737,-0.88186
-1,-0.92982,-0.84876
-1,-0.91228,-0.79618
-1,-0.89474,-0.75933
-1,-0.87719,-0.73024
-1,-0.85965,-0.68491
-1,-0.84211,-0.66502
-1,-0.82456,-0.62321
-1,-0.80702,-0.58008
-1,-0.78947,-0.55271
-1,-0.77193,-0.51513
-1,-0.75439,-0.48606
-1,-0.73684,-0.48488
-1,-0.7193,-0.42863
-1,-0.70175,-0.41631
-1,-0.68421,-0.40207
-1,-0.66667,-0.38059
-1,-0.64912,-0.36168
-1,-0.63158,-0.33639
-1,-0.61404,-0.31608
-1,-0.59649,-0.28735
-1,-0.57895,-0.2614
-1,-0.5614,-0.22777
-1,-0.54386,-0.19472
-1,-0.52632,-0.18672
-1,-0.50877,-0.16359
