time,tx,rx,throughput
2017-05-08T00:00:00Z,25443.2,4774.4,30217.6
2017-05-08T00:00:10Z,25325.6,5580.8,30906.4
2017-05-08T00:00:20Z,25339.2,4620.8,29960
2017-05-08T00:00:30Z,25348,4908.8,30256.8
2017-05-08T00:00:40Z,25283.2,4664,29947.2
2017-05-08T00:00:50Z,25346.4,4842.4,30188.8
2017-05-08T00:01:00Z,25400,4865.6,30265.6
2017-05-08T00:01:10Z,25283.2,4472,29755.2
2017-05-08T00:01:20Z,25237.6,4275.2,29512.8
2017-05-08T00:01:30Z,25236,4131.2,29367.2
2017-05-08T00:01:40Z,25288.8,4851.2,30140
2017-05-08T00:01:50Z,25288,4942.4,30230.4
2017-05-08T00:02:00Z,25288.8,4952,30240.8
2017-05-08T00:02:10Z,25281.6,5048,30329.6
2017-05-08T00:02:20Z,25348,5452.8,30800.8
2017-05-08T00:02:30Z,25291.2,4664,29955.2
2017-05-08T00:02:40Z,25344,4812.8,30156.8
2017-05-08T00:02:50Z,25239.2,4227.2,29466.4
2017-05-08T00:03:00Z,25379.2,4356.8,29736
2017-05-08T00:03:10Z,25268.8,4515.2,29784
2017-05-08T00:03:20Z,25292.8,4424,29716.8
2017-05-08T00:03:30Z,25396.8,5008,30404.8
2017-05-08T00:03:40Z,25370.4,5371.2,30741.6
2017-05-08T00:03:50Z,25297.6,4566.4,29864
2017-05-08T00:04:00Z,25442.4,4419.2,29861.6
2017-05-08T00:04:10Z,25293.6,4760,30053.6
2017-05-08T00:04:20Z,25293.6,4419.2,29712.8
2017-05-08T00:04:30Z,25390.4,4577.6,29968
2017-05-08T00:04:40Z,25448.8,4630.4,30079.2
2017-05-08T00:04:50Z,25396,4577.6,29973.6
2017-05-08T00:05:00Z,25281.6,4424,29705.6
2017-05-08T00:05:10Z,25332.8,5196.8,30529.6
2017-05-08T00:05:20Z,25284,4520,29804
2017-05-08T00:05:30Z,25336,4668.8,30004.8
2017-05-08T00:05:40Z,25230.4,5283.2,30513.6
2017-05-08T00:05:50Z,25495.2,4923.2,30418.4
2017-05-08T00:06:00Z,25328,4668.8,29996.8
2017-05-08T00:06:10Z,25280,4904,30184
2017-05-08T00:06:20Z,25288.8,4904,30192.8
2017-05-08T00:06:30Z,25439.2,5529.6,30968.8
2017-05-08T00:06:40Z,25407.2,4894.4,30301.6
2017-05-08T00:06:50Z,25337.6,5427.2,30764.8
2017-05-08T00:07:00Z,25344.8,4958.4,30303.2
2017-05-08T00:07:10Z,25372,5396.8,30768.8
2017-05-08T00:07:20Z,25292.8,4475.2,29768
2017-05-08T00:07:30Z,25390.4,4688,30078.4
2017-05-08T00:07:40Z,25343.2,4416,29759.2
2017-05-08T00:07:50Z,25237.6,5424,30661.6
2017-05-08T00:08:00Z,25332.8,6856,32188.8
2017-05-08T00:08:10Z,25336.8,5584,30920.8
2017-05-08T00:08:20Z,25292,4523.2,29815.2
2017-05-08T00:08:30Z,25342.4,5252.8,30595.2
2017-05-08T00:08:40Z,25396,4916.8,30312.8
2017-05-08T00:08:50Z,25368.8,5424,30792.8
2017-05-08T00:09:00Z,25283.2,4374.4,29657.6
2017-05-08T00:09:10Z,25288,4758.4,30046.4
2017-05-08T00:09:20Z,25560.8,5073.6,30634.4
2017-05-08T00:09:30Z,25325.6,4697.6,30023.2
2017-05-08T00:09:40Z,25202.4,4763.2,29965.6
2017-05-08T00:09:50Z,25312,5336,30648
2017-05-08T00:10:00Z,25308,4616,29924
2017-05-08T00:10:10Z,25454.4,5686.4,31140.8
2017-05-08T00:10:20Z,25458.4,4726.4,30184.8
2017-05-08T00:10:30Z,25301.6,4568,29869.6
2017-05-08T00:10:40Z,25295.2,4904,30199.2
2017-05-08T00:10:50Z,25301.6,4430.4,29732
2017-05-08T00:11:00Z,25296.8,4280,29576.8
2017-05-08T00:11:10Z,25184,4270.4,29454.4
2017-05-08T00:11:20Z,25302.4,4808,30110.4
2017-05-08T00:11:30Z,25252.8,4472,29724.8
2017-05-08T00:11:40Z,25398.4,4243.2,29641.6
2017-05-08T00:11:50Z,25356.8,4433.6,29790.4
2017-05-08T00:12:00Z,25246.4,4036.8,29283.2
2017-05-08T00:12:10Z,25292.8,4521.6,29814.4
2017-05-08T00:12:20Z,25572.8,4886.4,30459.2
2017-05-08T00:12:30Z,25420,4598.4,30018.4
2017-05-08T00:12:40Z,25355.2,4195.2,29550.4
2017-05-08T00:12:50Z,25345.6,4977.6,30323.2
2017-05-08T00:13:00Z,25305.6,4473.6,29779.2
2017-05-08T00:13:10Z,25267.2,4996.8,30264
2017-05-08T00:13:20Z,25282.4,4248,29530.4
2017-05-08T00:13:30Z,25280.8,4088,29368.8
2017-05-08T00:13:40Z,25420.8,4966.4,30387.2
2017-05-08T00:13:50Z,25261.6,4944,30205.6
2017-05-08T00:14:00Z,25223.2,4761.6,29984.8
2017-05-08T00:14:10Z,25268.8,5528,30796.8
2017-05-08T00:14:20Z,25492.8,4731.2,30224
2017-05-08T00:14:30Z,25185.6,4126.4,29312
2017-05-08T00:14:40Z,25443.2,4630.4,30073.6
2017-05-08T00:14:50Z,25474.4,5619.2,31093.6
2017-05-08T00:15:00Z,25231.2,4334.4,29565.6
2017-05-08T00:15:10Z,28412,7300.8,35712.8
2017-05-08T00:15:20Z,25339.2,4641.6,29980.8
2017-05-08T00:15:30Z,25400.8,4289.6,29690.4
2017-05-08T00:15:40Z,27892,5226.4,33118.4
2017-05-08T00:15:50Z,25919.2,4920,30839.2
2017-05-08T00:16:00Z,25284.8,5225.6,30510.4
2017-05-08T00:16:10Z,25283.2,5288,30571.2
2017-05-08T00:16:20Z,25236.8,4275.2,29512
2017-05-08T00:16:30Z,25445.6,4006.4,29452
2017-05-08T00:16:40Z,25340,4136,29476
2017-05-08T00:16:50Z,25339.2,4801.6,30140.8
2017-05-08T00:17:00Z,25281.6,4760,30041.6
2017-05-08T00:17:10Z,25376,5624,31000
2017-05-08T00:17:20Z,25484.8,5635.2,31120
2017-05-08T00:17:30Z,25401.6,4296,29697.6
2017-05-08T00:17:40Z,28053.6,5704,33757.6
2017-05-08T00:17:50Z,25343.2,4380.8,29724
2017-05-08T00:18:00Z,25340,4572.8,29912.8
2017-05-08T00:18:10Z,25280.8,4515.2,29796
2017-05-08T00:18:20Z,25348,5257.6,30605.6
2017-05-08T00:18:30Z,25301.6,4510.4,29812
2017-05-08T00:18:40Z,25342.4,4572.8,29915.2
2017-05-08T00:18:50Z,25299.2,4232,29531.2
2017-05-08T00:19:00Z,25353.6,4801.6,30155.2
2017-05-08T00:19:10Z,25233.6,4515.2,29748.8
2017-05-08T00:19:20Z,25449.6,4774.4,30224
2017-05-08T00:19:30Z,25237.6,4563.2,29800.8
2017-05-08T00:19:40Z,25389.6,4920,30309.6
2017-05-08T00:19:50Z,25237.6,5091.2,30328.8
2017-05-08T00:20:00Z,25285.6,4904,30189.6
2017-05-08T00:20:10Z,25324.8,4908.8,30233.6
2017-05-08T00:20:20Z,25228.8,4323.2,29552
2017-05-08T00:20:30Z,25288,4040,29328
2017-05-08T00:20:40Z,25275.2,4424,29699.2
2017-05-08T00:20:50Z,25389.6,5009.6,30399.2
2017-05-08T00:21:00Z,25335.2,5131.2,30466.4
2017-05-08T00:21:10Z,25328.8,5417.6,30746.4
2017-05-08T00:21:20Z,25342.4,5195.2,30537.6
2017-05-08T00:21:30Z,25242.4,4315.2,29557.6
2017-05-08T00:21:40Z,25336,5073.6,30409.6
2017-05-08T00:21:50Z,25398.4,5448,30846.4
2017-05-08T00:22:00Z,25299.2,4928,30227.2
2017-05-08T00:22:10Z,25182.4,4745.6,29928
2017-05-08T00:22:20Z,25348,4616,29964
2017-05-08T00:22:30Z,25291.2,4243.2,29534.4
2017-05-08T00:22:40Z,25529.6,4289.6,29819.2
2017-05-08T00:22:50Z,26023.2,5262.4,31285.6
2017-05-08T00:23:00Z,25421.6,4088,29509.6
2017-05-08T00:23:10Z,25228.8,5092.8,30321.6
2017-05-08T00:23:20Z,25294.4,4398.4,29692.8
2017-05-08T00:23:30Z,25352,4414.4,29766.4
2017-05-08T00:23:40Z,25233.6,5092.8,30326.4
2017-05-08T00:23:50Z,25292.8,5220.8,30513.6
2017-05-08T00:24:00Z,25236,6315.2,31551.2
2017-05-08T00:24:10Z,25282.4,4732.8,30015.2
2017-05-08T00:24:20Z,25401.6,4776,30177.6
2017-05-08T00:24:30Z,25301.6,4376,29677.6
2017-05-08T00:24:40Z,25236.8,4227.2,29464
2017-05-08T00:24:50Z,25300,4280,29580
2017-05-08T00:25:00Z,25353.6,4524.8,29878.4
2017-05-08T00:25:10Z,25336,4472,29808
2017-05-08T00:25:20Z,25286.4,4422.4,29708.8
2017-05-08T00:25:30Z,25340,4297.6,29637.6
2017-05-08T00:25:40Z,25333.6,4705.6,30039.2
2017-05-08T00:25:50Z,25551.2,4736,30287.2
2017-05-08T00:26:00Z,25282.4,5060.8,30343.2
2017-05-08T00:26:10Z,25275.2,4952,30227.2
2017-05-08T00:26:20Z,25446.4,4726.4,30172.8
2017-05-08T00:26:30Z,25238.4,4180.8,29419.2
2017-05-08T00:26:40Z,25331.2,4761.6,30092.8
2017-05-08T00:26:50Z,25285.6,4332.8,29618.4
2017-05-08T00:27:00Z,25447.2,4148.8,29596
2017-05-08T00:27:10Z,25282.4,8473.6,33756
2017-05-08T00:27:20Z,25348.8,4374.4,29723.2
2017-05-08T00:27:30Z,25196,4035.2,29231.2
2017-05-08T00:27:40Z,25342.4,4328,29670.4
2017-05-08T00:27:50Z,25247.2,5096,30343.2
2017-05-08T00:28:00Z,25248,4814.4,30062.4
2017-05-08T00:28:10Z,25395.2,5628.8,31024
2017-05-08T00:28:20Z,25242.4,4380.8,29623.2
2017-05-08T00:28:30Z,25235.2,4808,30043.2
2017-05-08T00:28:40Z,25346.4,5065.6,30412
2017-05-08T00:28:50Z,25240.8,4862.4,30103.2
2017-05-08T00:29:00Z,25230.4,4420.8,29651.2
2017-05-08T00:29:10Z,25287.2,5145.6,30432.8
2017-05-08T00:29:20Z,25295.2,5043.2,30338.4
2017-05-08T00:29:30Z,25297.6,3992,29289.6
2017-05-08T00:29:40Z,25092.8,3588.8,28681.6
2017-05-08T00:29:50Z,25252,4179.2,29431.2
2017-05-08T00:30:00Z,25454.4,4787.2,30241.6
2017-05-08T00:30:10Z,25347.2,4620.8,29968
2017-05-08T00:30:20Z,25300,4004.8,29304.8
2017-05-08T00:30:30Z,25344.8,3886.4,29231.2
2017-05-08T00:30:40Z,25388,3996.8,29384.8
2017-05-08T00:30:50Z,25411.2,4721.6,30132.8
2017-05-08T00:31:00Z,25301.6,4232,29533.6
2017-05-08T00:31:10Z,25407.2,4385.6,29792.8
2017-05-08T00:31:20Z,25355.2,3900.8,29256
2017-05-08T00:31:30Z,25347.2,4321.6,29668.8
2017-05-08T00:31:40Z,25194.4,4222.4,29416.8
2017-05-08T00:31:50Z,25299.2,4601.6,29900.8
2017-05-08T00:32:00Z,25400,4289.6,29689.6
2017-05-08T00:32:10Z,25245.6,5715.2,30960.8
2017-05-08T00:32:20Z,25306.4,4707.2,30013.6
2017-05-08T00:32:30Z,25408,3953.6,29361.6
2017-05-08T00:32:40Z,25355.2,3948.8,29304
2017-05-08T00:32:50Z,25495.2,4155.2,29650.4
2017-05-08T00:33:00Z,25268,4568,29836
2017-05-08T00:33:10Z,25215.2,5049.6,30264.8
2017-05-08T00:33:20Z,25228.8,4563.2,29792
2017-05-08T00:33:30Z,25282.4,5000,30282.4
2017-05-08T00:33:40Z,25229.6,4313.6,29543.2
2017-05-08T00:33:50Z,25286.4,4707.2,29993.6
2017-05-08T00:34:00Z,25319.2,4724,30043.2
2017-05-08T00:34:10Z,28504.8,6847.2,35352
2017-05-08T00:34:20Z,25332.8,4723.2,30056
2017-05-08T00:34:30Z,25438.4,5062.4,30500.8
2017-05-08T00:34:40Z,25344.8,4830.4,30175.2
2017-05-08T00:34:50Z,25186.4,4892.8,30079.2
2017-05-08T00:35:00Z,25464,4668.8,30132.8
2017-05-08T00:35:10Z,25384.8,4481.6,29866.4
2017-05-08T00:35:20Z,25284,4040,29324
2017-05-08T00:35:30Z,25333.6,4092.8,29426.4
2017-05-08T00:35:40Z,25227.2,3795.2,29022.4
2017-05-08T00:35:50Z,25336,5203.2,30539.2
2017-05-08T00:36:00Z,25433.6,4396.8,29830.4
2017-05-08T00:36:10Z,25280,5096,30376
2017-05-08T00:36:20Z,25447.2,5110.4,30557.6
2017-05-08T00:36:30Z,25287.2,4376,29663.2
2017-05-08T00:36:40Z,25287.2,4803.2,30090.4
2017-05-08T00:36:50Z,25291.2,4899.2,30190.4
2017-05-08T00:37:00Z,25474.4,4716.8,30191.2
2017-05-08T00:37:10Z,25336.8,5432,30768.8
2017-05-08T00:37:20Z,25296,4472,29768
2017-05-08T00:37:30Z,25340.8,4188.8,29529.6
2017-05-08T00:37:40Z,25557.6,4544,30101.6
2017-05-08T00:37:50Z,25399.2,4385.6,29784.8
2017-05-08T00:38:00Z,25537.6,4297.6,29835.2
2017-05-08T00:38:10Z,25268,4659.2,29927.2
2017-05-08T00:38:20Z,25242.4,4851.2,30093.6
2017-05-08T00:38:30Z,25345.6,3923.2,29268.8
2017-05-08T00:38:40Z,25134.4,4230.4,29364.8
2017-05-08T00:38:50Z,25293.6,4369.6,29663.2
2017-05-08T00:39:00Z,12564.8,3675.2,16240
2017-05-08T00:39:10Z,25281.6,4280,29561.6
2017-05-08T00:39:20Z,25350.4,4716.8,30067.2
2017-05-08T00:39:30Z,38131.2,5524.8,43656
2017-05-08T00:39:40Z,12670.4,3774.4,16444.8
