time,tx,rx,throughput
2017-05-08T00:00:00Z,5280.8,1500.8,6781.6
2017-05-08T00:00:10Z,5741.6,1669.6,7411.2
2017-05-08T00:00:20Z,5362.4,1621.6,6984
2017-05-08T00:00:30Z,5247.2,1467.2,6714.4
2017-05-08T00:00:40Z,5741.6,1669.6,7411.2
2017-05-08T00:00:50Z,5405.6,1681.6,7087.2
2017-05-08T00:01:00Z,5280.8,1500.8,6781.6
2017-05-08T00:01:10Z,5741.6,1669.6,7411.2
2017-05-08T00:01:20Z,5501.6,1664.8,7166.4
2017-05-08T00:01:30Z,5360.8,1534.4,6895.2
2017-05-08T00:01:40Z,5520,1624,7144
2017-05-08T00:01:50Z,5372,1647.2,7019.2
2017-05-08T00:02:00Z,5280.8,1556.8,6837.6
2017-05-08T00:02:10Z,5741.6,1669.6,7411.2
2017-05-08T00:02:20Z,5800,2595.2,8395.2
2017-05-08T00:02:30Z,5352.8,1520,6872.8
2017-05-08T00:02:40Z,7405.6,2513.6,9919.2
2017-05-08T00:02:50Z,5372,1647.2,7019.2
2017-05-08T00:03:00Z,5314.4,1534.4,6848.8
2017-05-08T00:03:10Z,5741.6,1669.6,7411.2
2017-05-08T00:03:20Z,5328.8,1588,6916.8
2017-05-08T00:03:30Z,5247.2,1467.2,6714.4
2017-05-08T00:03:40Z,5741.6,1669.6,7411.2
2017-05-08T00:03:50Z,5372,1647.2,7019.2
2017-05-08T00:04:00Z,5314.4,1534.4,6848.8
2017-05-08T00:04:10Z,5741.6,1669.6,7411.2
2017-05-08T00:04:20Z,5328.8,1588,6916.8
2017-05-08T00:04:30Z,4962.4,1405.6,6368
2017-05-08T00:04:40Z,6079.2,1836.8,7916
2017-05-08T00:04:50Z,5372,1648,7020
2017-05-08T00:05:00Z,5420,1640,7060
2017-05-08T00:05:10Z,5741.6,1669.6,7411.2
2017-05-08T00:05:20Z,5800,2595.2,8395.2
2017-05-08T00:05:30Z,5068,1458.4,6526.4
2017-05-08T00:05:40Z,6026.4,1731.2,7757.6
2017-05-08T00:05:50Z,5415.2,1690.4,7105.6
2017-05-08T00:06:00Z,5135.2,1506.4,6641.6
2017-05-08T00:06:10Z,6026.4,1731.2,7757.6
2017-05-08T00:06:20Z,5328.8,1588,6916.8
2017-05-08T00:06:30Z,4962.4,1405.6,6368
2017-05-08T00:06:40Z,6026.4,1731.2,7757.6
2017-05-08T00:06:50Z,5372,1647.2,7019.2
2017-05-08T00:07:00Z,5068,1439.2,6507.2
2017-05-08T00:07:10Z,6060,1764.8,7824.8
2017-05-08T00:07:20Z,5362.4,1621.6,6984
2017-05-08T00:07:30Z,4962.4,1405.6,6368
2017-05-08T00:07:40Z,7690.4,2668,10358.4
2017-05-08T00:07:50Z,5544.8,1876,7420.8
2017-05-08T00:08:00Z,4996,1439.2,6435.2
2017-05-08T00:08:10Z,6098.4,1731.2,7829.6
2017-05-08T00:08:20Z,5833.6,2629.6,8463.2
2017-05-08T00:08:30Z,5068,1458.4,6526.4
2017-05-08T00:08:40Z,6026.4,1824,7850.4
2017-05-08T00:08:50Z,5405.6,1680.8,7086.4
2017-05-08T00:09:00Z,4996,1439.2,6435.2
2017-05-08T00:09:10Z,6026.4,1731.2,7757.6
2017-05-08T00:09:20Z,5362.4,1621.6,6984
2017-05-08T00:09:30Z,4996,1495.2,6491.2
2017-05-08T00:09:40Z,6079.2,1836.8,7916
2017-05-08T00:09:50Z,5405.6,1680.8,7086.4
2017-05-08T00:10:00Z,5029.6,1472.8,6502.4
2017-05-08T00:10:10Z,6026.4,1731.2,7757.6
2017-05-08T00:10:20Z,5362.4,1621.6,6984
2017-05-08T00:10:30Z,4962.4,1405.6,6368
2017-05-08T00:10:40Z,6026.4,1731.2,7757.6
2017-05-08T00:10:50Z,5405.6,1681.6,7087.2
2017-05-08T00:11:00Z,4996,1439.2,6435.2
2017-05-08T00:11:10Z,6026.4,1731.2,7757.6
2017-05-08T00:11:20Z,5833.6,2628.8,8462.4
2017-05-08T00:11:30Z,5068,1458.4,6526.4
2017-05-08T00:11:40Z,6026.4,1731.2,7757.6
2017-05-08T00:11:50Z,5405.6,1680.8,7086.4
2017-05-08T00:12:00Z,4996,1439.2,6435.2
2017-05-08T00:12:10Z,5758.4,1642.4,7400.8
2017-05-08T00:12:20Z,5362.4,1621.6,6984
2017-05-08T00:12:30Z,4962.4,1405.6,6368
2017-05-08T00:12:40Z,7690.4,2575.2,10265.6
2017-05-08T00:12:50Z,5405.6,1680.8,7086.4
2017-05-08T00:13:00Z,4996,1439.2,6435.2
2017-05-08T00:13:10Z,6026.4,1731.2,7757.6
2017-05-08T00:13:20Z,5362.4,1621.6,6984
2017-05-08T00:13:30Z,4996,1439.2,6435.2
2017-05-08T00:13:40Z,6026.4,1731.2,7757.6
2017-05-08T00:13:50Z,5405.6,1736.8,7142.4
2017-05-08T00:14:00Z,4996,1439.2,6435.2
2017-05-08T00:14:10Z,6026.4,1731.2,7757.6
2017-05-08T00:14:20Z,5833.6,2628.8,8462.4
2017-05-08T00:14:30Z,5068,1458.4,6526.4
2017-05-08T00:14:40Z,6079.2,1836.8,7916
2017-05-08T00:14:50Z,5405.6,1680.8,7086.4
2017-05-08T00:15:00Z,4996,1439.2,6435.2
2017-05-08T00:15:10Z,6026.4,1731.2,7757.6
2017-05-08T00:15:20Z,5362.4,1621.6,6984
2017-05-08T00:15:30Z,4962.4,1405.6,6368
2017-05-08T00:15:40Z,6060,1764.8,7824.8
2017-05-08T00:15:50Z,5405.6,1680.8,7086.4
2017-05-08T00:16:00Z,4996,1439.2,6435.2
2017-05-08T00:16:10Z,6026.4,1731.2,7757.6
2017-05-08T00:16:20Z,5362.4,1621.6,6984
2017-05-08T00:16:30Z,4962.4,1405.6,6368
2017-05-08T00:16:40Z,6026.4,1731.2,7757.6
2017-05-08T00:16:50Z,5405.6,1680.8,7086.4
2017-05-08T00:17:00Z,4996,1439.2,6435.2
2017-05-08T00:17:10Z,6026.4,1731.2,7757.6
2017-05-08T00:17:20Z,5800,2596,8396
2017-05-08T00:17:30Z,5140,1552.8,6692.8
2017-05-08T00:17:40Z,7757.6,2642.4,10400
2017-05-08T00:17:50Z,5405.6,1680.8,7086.4
2017-05-08T00:18:00Z,4996,1439.2,6435.2
