time,tx,rx,throughput
2017-05-08T00:00:00Z,25050.4,1068.8,26119.2
2017-05-08T00:00:10Z,24948.8,1121.6,26070.4
2017-05-08T00:00:20Z,24974.4,944,25918.4
2017-05-08T00:00:30Z,25055.2,1227.2,26282.4
2017-05-08T00:00:40Z,24997.6,1227.2,26224.8
2017-05-08T00:00:50Z,28084.8,3164,31248.8
2017-05-08T00:01:00Z,24944.8,1174.4,26119.2
2017-05-08T00:01:10Z,24940.8,963.2,25904
2017-05-08T00:01:20Z,24928.8,963.2,25892
2017-05-08T00:01:30Z,24972,1155.2,26127.2
2017-05-08T00:01:40Z,24931.2,699.2,25630.4
2017-05-08T00:01:50Z,25026.4,1068.8,26095.2
2017-05-08T00:02:00Z,24967.2,1102.4,26069.6
2017-05-08T00:02:10Z,24932.8,804.8,25737.6
2017-05-08T00:02:20Z,24920.8,1068.8,25989.6
2017-05-08T00:02:30Z,24917.6,1121.6,26039.2
2017-05-08T00:02:40Z,24934.4,1155.2,26089.6
2017-05-08T00:02:50Z,24896,1068.8,25964.8
2017-05-08T00:03:00Z,24914.4,1068.8,25983.2
2017-05-08T00:03:10Z,24945.6,996.8,25942.4
2017-05-08T00:03:20Z,24900.8,1174.4,26075.2
2017-05-08T00:03:30Z,24919.2,1068.8,25988
2017-05-08T00:03:40Z,25904.8,1006.4,26911.2
2017-05-08T00:03:50Z,24903.2,1068.8,25972
2017-05-08T00:04:00Z,25021.6,910.4,25932
2017-05-08T00:04:10Z,25057.6,1313.6,26371.2
2017-05-08T00:04:20Z,24912,1068.8,25980.8
2017-05-08T00:04:30Z,24920.8,963.2,25884
2017-05-08T00:04:40Z,25108.8,1208,26316.8
2017-05-08T00:04:50Z,25017.6,1174.4,26192
2017-05-08T00:05:00Z,25032.8,1174.4,26207.2
2017-05-08T00:05:10Z,24958.4,1102.4,26060.8
2017-05-08T00:05:20Z,24912.8,1016,25928.8
2017-05-08T00:05:30Z,24928.8,1016,25944.8
2017-05-08T00:05:40Z,24958.4,1155.2,26113.6
2017-05-08T00:05:50Z,24966.4,910.4,25876.8
2017-05-08T00:06:00Z,37500.8,1444.8,38945.6
2017-05-08T00:06:10Z,12503.2,515.2,13018.4
2017-05-08T00:06:20Z,25028.8,1174.4,26203.2
2017-05-08T00:06:30Z,37405.6,1444.8,38850.4
2017-05-08T00:06:40Z,24959.2,996.8,25956
2017-05-08T00:06:50Z,24976.8,1121.6,26098.4
2017-05-08T00:07:00Z,24933.6,1174.4,26108
2017-05-08T00:07:10Z,25897.6,1006.4,26904
2017-05-08T00:07:20Z,24921.6,1227.2,26148.8
2017-05-08T00:07:30Z,25073.6,1280,26353.6
2017-05-08T00:07:40Z,24951.2,1208,26159.2
2017-05-08T00:07:50Z,25024,860.8,25884.8
2017-05-08T00:08:00Z,25031.2,1121.6,26152.8
2017-05-08T00:08:10Z,25218.4,1438.4,26656.8
2017-05-08T00:08:20Z,24913.6,1068.8,25982.4
2017-05-08T00:08:30Z,25110.4,1102.4,26212.8
2017-05-08T00:08:40Z,24910.4,963.2,25873.6
2017-05-08T00:08:50Z,25173.6,1385.6,26559.2
2017-05-08T00:09:00Z,24973.6,1068.8,26042.4
2017-05-08T00:09:10Z,25081.6,1227.2,26308.8
2017-05-08T00:09:20Z,24956.8,785.6,25742.4
2017-05-08T00:09:30Z,24928.8,1174.4,26103.2
2017-05-08T00:09:40Z,24917.6,857.6,25775.2
2017-05-08T00:09:50Z,26093.6,1256,27349.6
2017-05-08T00:10:00Z,25037.6,1068.8,26106.4
2017-05-08T00:10:10Z,24958.4,1155.2,26113.6
2017-05-08T00:10:20Z,24924.8,963.2,25888
2017-05-08T00:10:30Z,24918.4,963.2,25881.6
2017-05-08T00:10:40Z,24920.8,1068.8,25989.6
2017-05-08T00:10:50Z,24920.8,1227.2,26148
2017-05-08T00:11:00Z,24927.2,1174.4,26101.6
2017-05-08T00:11:10Z,12600,568,13168
2017-05-08T00:11:20Z,24909.6,1227.2,26136.8
2017-05-08T00:11:30Z,24928,1016,25944
2017-05-08T00:11:40Z,25082.4,1174.4,26256.8
2017-05-08T00:11:50Z,24913.6,857.6,25771.2
2017-05-08T00:12:00Z,24963.2,1208,26171.2
2017-05-08T00:12:10Z,26105.6,1193.6,27299.2
2017-05-08T00:12:20Z,24926.4,1068.8,25995.2
2017-05-08T00:12:30Z,24938.4,910.4,25848.8
2017-05-08T00:12:40Z,24935.2,1016,25951.2
2017-05-08T00:12:50Z,24955.2,996.8,25952
2017-05-08T00:13:00Z,24988,1121.6,26109.6
2017-05-08T00:13:10Z,25083.2,1227.2,26310.4
2017-05-08T00:13:20Z,25860.8,972.8,26833.6
2017-05-08T00:13:30Z,24973.6,1016,25989.6
2017-05-08T00:13:40Z,24950.4,944,25894.4
2017-05-08T00:13:50Z,24908.8,1121.6,26030.4
2017-05-08T00:14:00Z,25112.8,1366.4,26479.2
2017-05-08T00:14:10Z,25024,1227.2,26251.2
2017-05-08T00:14:20Z,24906.4,1174.4,26080.8
2017-05-08T00:14:30Z,25063.2,1155.2,26218.4
2017-05-08T00:14:40Z,24918.4,1174.4,26092.8
2017-05-08T00:14:50Z,24947.2,1208,26155.2
2017-05-08T00:15:00Z,24989.6,1267.2,26256.8
2017-05-08T00:15:10Z,28047.2,2965.6,31012.8
2017-05-08T00:15:20Z,24966.4,1260.8,26227.2
2017-05-08T00:15:30Z,24991.2,963.2,25954.4
2017-05-08T00:15:40Z,27809.6,2518.4,30328
2017-05-08T00:15:50Z,25875.2,920,26795.2
2017-05-08T00:16:00Z,24935.2,910.4,25845.6
2017-05-08T00:16:10Z,24962.4,944,25906.4
2017-05-08T00:16:20Z,24916,1174.4,26090.4
2017-05-08T00:16:30Z,24959.2,1208,26167.2
2017-05-08T00:16:40Z,25027.2,1227.2,26254.4
2017-05-08T00:16:50Z,26243.2,1361.6,27604.8
2017-05-08T00:17:00Z,24959.2,1155.2,26114.4
2017-05-08T00:17:10Z,24923.2,1121.6,26044.8
2017-05-08T00:17:20Z,24944.8,1260.8,26205.6
2017-05-08T00:17:30Z,27749.6,2728,30477.6
2017-05-08T00:17:40Z,24990.4,1136,26126.4
2017-05-08T00:17:50Z,25036,1297.6,26333.6
2017-05-08T00:18:00Z,24983.2,1174.4,26157.6
2017-05-08T00:18:10Z,25014.4,1155.2,26169.6
2017-05-08T00:18:20Z,24917.6,963.2,25880.8
2017-05-08T00:18:30Z,24986.4,1280,26266.4
2017-05-08T00:18:40Z,24983.2,1227.2,26210.4
2017-05-08T00:18:50Z,25074.4,1068.8,26143.2
2017-05-08T00:19:00Z,25015.2,1102.4,26117.6
2017-05-08T00:19:10Z,24932,1068.8,26000.8
2017-05-08T00:19:20Z,25032,1121.6,26153.6
2017-05-08T00:19:30Z,24988,963.2,25951.2
2017-05-08T00:19:40Z,24931.2,857.6,25788.8
2017-05-08T00:19:50Z,25918.4,1006.4,26924.8
2017-05-08T00:20:00Z,24941.6,1174.4,26116
2017-05-08T00:20:10Z,25044.8,1385.6,26430.4
2017-05-08T00:20:20Z,24980.8,1016,25996.8
2017-05-08T00:20:30Z,24997.6,1227.2,26224.8
2017-05-08T00:20:40Z,24967.2,1049.6,26016.8
2017-05-08T00:20:50Z,24933.6,1068.8,26002.4
2017-05-08T00:21:00Z,25103.2,1280,26383.2
2017-05-08T00:21:10Z,24941.6,1016,25957.6
2017-05-08T00:21:20Z,25914.4,1236.8,27151.2
2017-05-08T00:21:30Z,24984.8,1260.8,26245.6
2017-05-08T00:21:40Z,24942.4,1068.8,26011.2
2017-05-08T00:21:50Z,24936,1174.4,26110.4
2017-05-08T00:22:00Z,24948,1121.6,26069.6
2017-05-08T00:22:10Z,24937.6,1016,25953.6
2017-05-08T00:22:20Z,27897.6,2677.6,30575.2
2017-05-08T00:22:30Z,25281.6,1052.8,26334.4
2017-05-08T00:22:40Z,24956.8,1283.2,26240
2017-05-08T00:22:50Z,24961.6,910.4,25872
2017-05-08T00:23:00Z,24916,1121.6,26037.6
2017-05-08T00:23:10Z,25864.8,1006.4,26871.2
