time,tx,rx,throughput
2017-05-08T00:00:00Z,5564.8,2011.2,7576
2017-05-08T00:00:10Z,4780.8,1528,6308.8
2017-05-08T00:00:20Z,5688.8,1902.4,7591.2
2017-05-08T00:00:30Z,5363.2,1809.6,7172.8
2017-05-08T00:00:40Z,4780.8,1528,6308.8
2017-05-08T00:00:50Z,7746.4,3251.2,10997.6
2017-05-08T00:01:00Z,5564.8,2011.2,7576
2017-05-08T00:01:10Z,4780.8,1528,6308.8
2017-05-08T00:01:20Z,5688.8,1902.4,7591.2
2017-05-08T00:01:30Z,5363.2,1809.6,7172.8
2017-05-08T00:01:40Z,4780.8,1528,6308.8
2017-05-08T00:01:50Z,7712.8,3270.4,10983.2
2017-05-08T00:02:00Z,5564.8,2067.2,7632
2017-05-08T00:02:10Z,4780.8,1528,6308.8
2017-05-08T00:02:20Z,6160,2909.6,9069.6
2017-05-08T00:02:30Z,5469.6,1862.4,7332
2017-05-08T00:02:40Z,4780.8,1528,6308.8
2017-05-08T00:02:50Z,7746.4,3251.2,10997.6
2017-05-08T00:03:00Z,5598.4,2044.8,7643.2
2017-05-08T00:03:10Z,4780.8,1528,6308.8
2017-05-08T00:03:20Z,5722.4,1936,7658.4
2017-05-08T00:03:30Z,5363.2,1809.6,7172.8
2017-05-08T00:03:40Z,4780.8,1528,6308.8
2017-05-08T00:03:50Z,7746.4,3251.2,10997.6
2017-05-08T00:04:00Z,5598.4,2044.8,7643.2
2017-05-08T00:04:10Z,4780.8,1528,6308.8
2017-05-08T00:04:20Z,5722.4,1936,7658.4
2017-05-08T00:04:30Z,5363.2,1809.6,7172.8
2017-05-08T00:04:40Z,4780.8,1528,6308.8
2017-05-08T00:04:50Z,7746.4,3251.2,10997.6
2017-05-08T00:05:00Z,5564.8,2011.2,7576
2017-05-08T00:05:10Z,4780.8,1528,6308.8
2017-05-08T00:05:20Z,5925.6,2854.4,8780
2017-05-08T00:05:30Z,5469.6,1862.4,7332
2017-05-08T00:05:40Z,4891.2,1638.4,6529.6
2017-05-08T00:05:50Z,7746.4,3251.2,10997.6
2017-05-08T00:06:00Z,5564.8,2011.2,7576
2017-05-08T00:06:10Z,4780.8,1528,6308.8
2017-05-08T00:06:20Z,5722.4,1936,7658.4
2017-05-08T00:06:30Z,5363.2,1809.6,7172.8
2017-05-08T00:06:40Z,4780.8,1528,6308.8
2017-05-08T00:06:50Z,7746.4,3251.2,10997.6
2017-05-08T00:07:00Z,5564.8,2011.2,7576
2017-05-08T00:07:10Z,4780.8,1528,6308.8
2017-05-08T00:07:20Z,5722.4,1936,7658.4
2017-05-08T00:07:30Z,5363.2,1809.6,7172.8
2017-05-08T00:07:40Z,4780.8,1528,6308.8
2017-05-08T00:07:50Z,7746.4,3307.2,11053.6
2017-05-08T00:08:00Z,5598.4,2044.8,7643.2
2017-05-08T00:08:10Z,4814.4,1561.6,6376
2017-05-08T00:08:20Z,6160,2909.6,9069.6
2017-05-08T00:08:30Z,5468.8,1862.4,7331.2
2017-05-08T00:08:40Z,4780.8,1528,6308.8
2017-05-08T00:08:50Z,7780,3342.4,11122.4
2017-05-08T00:09:00Z,5564.8,2012,7576.8
2017-05-08T00:09:10Z,4780.8,1528,6308.8
2017-05-08T00:09:20Z,5688.8,1902.4,7591.2
2017-05-08T00:09:30Z,5431.2,1876.8,7308
2017-05-08T00:09:40Z,4780.8,1528,6308.8
2017-05-08T00:09:50Z,7746.4,3251.2,10997.6
2017-05-08T00:10:00Z,5565.6,2011.2,7576.8
2017-05-08T00:10:10Z,4780.8,1528,6308.8
2017-05-08T00:10:20Z,5722.4,1936,7658.4
2017-05-08T00:10:30Z,5363.2,1809.6,7172.8
2017-05-08T00:10:40Z,4780.8,1528,6308.8
2017-05-08T00:10:50Z,7712.8,3217.6,10930.4
